,KIC,teff,teff_err,age,age_errp,age_errm,period,period_err,logg,logg_errp,logg_errm,feh,feh_err
185,9446628.0,6371.0,172.0,4.3,0.8,1.1,10.04,0.83,3.97,0.022,0.023,-0.2,0.3
186,9457728.0,6383.0,158.0,4.8,0.6,1.5,23.4,2.65,3.991,0.017,0.014,-0.2,0.3
187,9468847.0,6160.0,141.0,5.7,1.5,1.1,14.65,1.76,3.99,0.016,0.015,-0.2,0.3
188,9512063.0,5953.0,139.0,5.1,1.4,0.7,23.0,3.85,3.881,0.017,0.017,-0.2,0.3
189,9542776.0,6827.0,171.0,3.8,0.7,1.0,7.45,0.51,3.79,0.041,0.046,-0.2,0.3
190,9579208.0,6498.0,160.0,3.6,1.4,0.6,5.39,0.59,4.023,0.013,0.014,-0.2,0.3
191,9696358.0,6315.0,160.0,3.8,0.9,1.0,17.05,1.55,3.934,0.02,0.022,-0.2,0.3
192,9697131.0,6545.0,166.0,3.2,0.8,0.8,6.18,0.5,4.024,0.015,0.017,-0.2,0.3
193,9700430.0,6058.0,145.0,4.4,2.0,1.1,26.83,2.66,4.15,0.015,0.018,-0.2,0.3
194,9702369.0,6460.0,164.0,2.0,1.0,0.8,12.04,1.12,4.261,0.011,0.012,-0.2,0.3
195,9702752.0,5823.0,130.0,7.4,1.6,2.4,54.84,6.38,4.038,0.024,0.014,-0.2,0.3
196,9715099.0,6448.0,162.0,4.0,1.0,0.7,4.81,0.46,3.78,0.019,0.019,-0.2,0.3
197,9754284.0,6238.0,157.0,4.1,1.6,1.0,15.22,1.32,4.117,0.016,0.019,-0.2,0.3
198,9757640.0,5686.0,118.0,10.5,3.2,2.3,48.4,5.02,3.97,0.017,0.018,-0.2,0.3
199,9762786.0,6572.0,253.0,3.4,1.5,0.8,2.43,0.21,3.99,0.014,0.014,-0.2,0.3
200,9787965.0,6402.0,149.0,4.8,0.8,1.1,17.82,2.78,3.924,0.021,0.022,-0.2,0.3
201,9788260.0,5525.0,119.0,3.3,1.1,0.8,37.45,5.66,3.6,0.012,0.013,-0.2,0.3
202,9791157.0,6159.0,160.0,5.7,1.1,0.7,21.02,2.2,3.927,0.013,0.015,-0.2,0.3
203,9812421.0,5191.0,103.0,4.1,1.5,1.5,12.71,1.21,3.555,0.012,0.012,-0.2,0.3
204,9812850.0,-0.16,0.09,3.8,1.1,0.8,5.19,0.79,4.046,0.013,0.016,-0.16,0.09
205,9821513.0,6492.0,167.0,2.9,0.6,0.8,10.34,1.15,4.03,0.013,0.013,-0.2,0.3
206,9880787.0,5957.0,145.0,4.9,0.6,0.8,21.07,2.61,3.902,0.016,0.014,-0.2,0.3
207,9893470.0,6134.0,144.0,2.9,0.8,0.6,15.65,1.33,3.576,0.016,0.015,-0.2,0.3
208,9955598.0,0.11,0.09,6.9,3.6,3.4,34.2,5.64,4.487,0.014,0.015,0.11,0.09
209,10003270.0,6634.0,166.0,2.5,1.3,0.7,7.09,0.48,3.846,0.016,0.016,-0.2,0.3
210,10016239.0,-0.05,0.09,1.8,0.8,0.7,4.91,0.39,4.313,0.01,0.01,-0.05,0.09
211,10024648.0,6234.0,145.0,3.2,0.7,0.8,10.58,0.92,3.99,0.013,0.014,-0.2,0.3
212,10025841.0,5949.0,134.0,9.0,4.6,3.9,11.84,1.22,4.099,0.028,0.024,-0.2,0.3
213,10068307.0,-0.22,0.09,4.9,0.6,1.2,18.6,2.07,3.927,0.018,0.012,-0.22,0.09
214,10070754.0,6483.0,167.0,1.2,1.1,0.9,5.02,0.41,4.314,0.014,0.015,-0.2,0.3
215,10079226.0,6020.0,145.0,2.4,2.1,1.7,14.81,1.23,4.372,0.013,0.014,-0.2,0.3
216,10081026.0,6639.0,169.0,3.6,0.8,1.0,4.32,0.38,3.83,0.016,0.017,-0.2,0.3
217,10129349.0,6145.0,0.0,2.0,1.4,0.7,1.16,0.15,4.194,0.017,0.018,-0.2,0.3
218,10130724.0,5443.0,233.0,13.8,3.9,6.1,32.61,2.95,4.306,0.022,0.016,-0.2,0.3
219,10147635.0,6173.0,147.0,3.3,0.7,1.3,20.34,1.63,3.748,0.02,0.013,-0.2,0.3
220,10162436.0,-0.08,0.09,4.6,0.6,0.8,11.96,2.05,3.953,0.012,0.013,-0.08,0.09
221,10186764.0,6161.0,142.0,3.1,1.5,0.6,11.44,1.01,4.088,0.014,0.016,-0.2,0.3
222,10202294.0,5887.0,131.0,6.2,1.1,1.9,23.55,2.37,3.961,0.026,0.015,-0.2,0.3
223,10214328.0,6845.0,169.0,2.3,0.7,0.8,12.52,0.8,4.049,0.017,0.018,-0.2,0.3
224,10215584.0,5848.0,124.0,6.8,3.5,3.4,22.25,2.94,4.335,0.024,0.023,-0.2,0.3
225,10290021.0,6177.0,151.0,3.9,0.9,0.8,12.93,2.22,3.955,0.014,0.015,-0.2,0.3
226,10295224.0,6211.0,156.0,4.0,1.0,0.7,2.66,0.65,3.746,0.025,0.025,-0.2,0.3
227,10319352.0,5743.0,133.0,12.9,3.8,3.9,24.87,4.06,4.099,0.026,0.026,-0.2,0.3
228,10322381.0,6333.0,150.0,2.8,1.5,1.1,12.1,1.5,4.205,0.025,0.026,-0.2,0.3
229,10324098.0,6381.0,155.0,3.7,0.6,1.0,10.62,0.81,3.908,0.015,0.015,-0.2,0.3
230,10351059.0,6612.0,163.0,2.9,0.6,0.7,9.42,1.23,4.07,0.013,0.013,-0.2,0.3
231,10355856.0,-0.19,0.09,3.5,0.6,0.6,4.47,0.31,4.074,0.009,0.01,-0.19,0.09
232,10454113.0,6120.0,60.0,2.0,0.29,0.29,11.555229075000002,0.12626292895833122,4.31,0.03,0.03,-0.06,0.06
233,10462940.0,0.1,0.09,2.5,1.1,1.1,9.82,1.1,4.317,0.015,0.016,0.1,0.09
234,10491771.0,6810.0,203.0,2.1,1.0,0.5,3.86,0.68,4.194,0.014,0.015,-0.2,0.3
235,10518551.0,6171.0,157.0,4.0,0.9,0.9,20.5,2.44,3.904,0.012,0.014,-0.2,0.3
236,10593351.0,6301.0,0.0,3.3,0.7,0.6,17.73,1.41,3.651,0.012,0.013,-0.2,0.3
237,10610027.0,6806.0,184.0,1.8,1.4,0.7,1.94,0.24,4.223,0.021,0.021,-0.2,0.3
238,10644253.0,6030.0,60.0,1.07,0.25,0.25,8.857987275000001,0.21717223780833736,4.4,0.03,0.03,0.12,0.06
239,10655953.0,6444.0,157.0,0.8,1.2,0.8,6.49,0.57,4.333,0.019,0.021,-0.2,0.3
240,10712891.0,5217.0,118.0,3.4,1.2,0.9,49.41,3.24,3.637,0.014,0.015,-0.2,0.3
241,10717090.0,5880.0,137.0,8.2,3.3,2.9,21.21,2.37,4.123,0.024,0.026,-0.2,0.3
242,10727922.0,6171.0,157.0,4.4,0.8,1.2,11.45,0.91,3.957,0.02,0.021,-0.2,0.3
243,10731424.0,6553.0,181.0,3.3,0.7,1.3,5.12,0.55,3.778,0.023,0.025,-0.2,0.3
244,10732098.0,5813.0,149.0,8.0,2.0,1.6,25.57,6.04,3.981,0.013,0.013,-0.2,0.3
245,10794845.0,6258.0,162.0,1.2,1.8,1.2,1.4,0.08,4.375,0.018,0.02,-0.2,0.3
246,10909629.0,6383.0,157.0,3.8,0.7,0.8,12.37,1.22,3.9,0.014,0.014,-0.2,0.3
247,10923629.0,0.16,0.09,3.6,0.6,1.0,5.7,1.05,3.818,0.015,0.013,0.16,0.09
248,10959362.0,5983.0,135.0,5.3,1.6,0.7,16.31,1.42,3.844,0.017,0.017,-0.2,0.3
249,10963065.0,6060.0,60.0,4.3,0.23,0.23,9.920537075,0.7422713985052773,4.29,0.03,0.03,-0.2,0.06
250,10971974.0,5941.0,150.0,5.8,3.4,2.5,26.86,4.04,4.302,0.023,0.024,-0.2,0.3
251,10972252.0,6312.0,175.0,2.8,1.3,0.5,12.63,0.97,3.861,0.013,0.017,-0.2,0.3
252,11026764.0,0.05,0.09,5.7,0.5,0.4,32.36,2.88,3.885,0.009,0.008,0.05,0.09
253,11075448.0,6650.0,169.0,2.6,1.1,0.7,3.37,0.45,4.166,0.017,0.018,-0.2,0.3
254,11081729.0,-0.12,0.09,1.2,0.5,0.4,2.74,0.31,4.258,0.011,0.011,-0.12,0.09
255,11082784.0,5963.0,152.0,4.9,1.9,0.7,31.93,5.05,3.86,0.017,0.015,-0.2,0.3
256,11083308.0,6353.0,159.0,4.2,1.0,0.9,16.77,1.69,3.915,0.015,0.017,-0.2,0.3
257,11098033.0,6217.0,148.0,3.7,1.0,1.1,23.78,2.82,3.877,0.024,0.027,-0.2,0.3
258,11127479.0,6062.0,148.0,5.1,3.0,1.3,17.64,1.84,4.225,0.014,0.015,-0.2,0.3
259,11133100.0,6316.0,163.0,3.8,1.0,1.4,9.03,0.75,3.849,0.025,0.027,-0.2,0.3
260,11193681.0,5802.0,136.0,4.8,0.7,0.6,31.08,2.98,3.792,0.014,0.014,-0.2,0.3
261,11229052.0,6405.0,151.0,2.8,1.5,1.0,7.98,0.7,4.198,0.015,0.017,-0.2,0.3
262,11244118.0,5745.0,60.0,6.43,0.58,0.58,26.921333875000002,0.9141436056583325,4.09,0.03,0.03,0.35,0.06
263,11253226.0,-0.08,0.09,2.1,0.3,0.2,3.64,0.37,4.173,0.008,0.008,-0.08,0.09
264,11294717.0,5825.0,139.0,8.6,2.6,1.7,42.32,5.43,3.949,0.018,0.019,-0.2,0.3
265,11389393.0,6203.0,153.0,4.3,1.1,0.8,14.69,0.74,4.006,0.018,0.019,-0.2,0.3
266,11389437.0,6144.0,138.0,5.3,1.1,1.0,12.38,1.07,4.052,0.015,0.014,-0.2,0.3
267,11401708.0,5951.0,152.0,4.1,0.5,0.5,15.76,2.51,3.773,0.009,0.01,-0.2,0.3
268,11414712.0,-0.05,0.09,5.0,0.7,0.7,37.46,4.22,3.798,0.009,0.009,-0.05,0.09
269,11454149.0,6327.0,158.0,1.1,1.5,1.1,8.11,0.96,4.369,0.017,0.018,-0.2,0.3
270,11456910.0,6216.0,424.0,3.6,1.4,0.8,22.56,3.4,4.082,0.019,0.02,-0.2,0.3
271,11467550.0,6281.0,159.0,4.8,0.8,1.1,14.48,2.28,3.934,0.02,0.02,-0.2,0.3
272,11506988.0,6351.0,150.0,4.2,1.0,1.5,14.17,1.63,3.992,0.026,0.022,-0.2,0.3
273,11558593.0,5228.0,110.0,3.4,1.5,1.0,1.01,0.07,3.58,0.016,0.02,-0.2,0.3
274,11611414.0,6420.0,163.0,4.9,1.0,1.5,17.99,2.72,4.054,0.027,0.027,-0.2,0.3
275,11708273.0,6036.0,151.0,7.3,2.4,2.5,19.8,2.74,4.081,0.023,0.022,-0.2,0.3
276,11709205.0,4801.0,87.0,4.9,1.4,0.8,57.96,3.33,3.34,0.011,0.011,-0.2,0.3
277,11802939.0,6076.0,143.0,3.9,1.0,0.7,17.24,2.15,3.718,0.03,0.03,-0.2,0.3
278,11862119.0,6184.0,158.0,4.3,1.8,1.2,7.3,0.62,4.141,0.018,0.018,-0.2,0.3
279,11919192.0,6827.0,163.0,2.3,1.0,0.6,6.24,0.04,3.919,0.019,0.02,-0.2,0.3
280,11962180.0,6390.0,157.0,3.8,1.1,0.8,12.88,1.19,3.979,0.016,0.018,-0.2,0.3
281,11971746.0,6059.0,158.0,6.0,4.0,1.7,19.53,2.11,4.215,0.018,0.021,-0.2,0.3
282,12009504.0,6065.0,60.0,3.64,0.26,0.26,8.418663800000001,0.1464649975916639,4.21,0.03,0.03,-0.09,0.06
283,12020532.0,5401.0,118.0,2.0,0.7,0.4,80.83,9.5,3.484,0.014,0.014,-0.2,0.3
284,12069127.0,6554.0,162.0,3.7,0.7,0.9,0.92,0.05,3.89,0.014,0.014,-0.2,0.3
285,12117868.0,6168.0,144.0,5.0,2.5,1.8,17.81,1.63,4.232,0.016,0.017,-0.2,0.3
286,12258514.0,0.04,0.09,5.2,1.4,1.1,15.0,1.84,4.113,0.011,0.011,0.04,0.09
287,12265063.0,6084.0,142.0,4.6,1.6,1.3,7.57,0.74,4.061,0.022,0.022,-0.2,0.3
288,12304142.0,6265.0,161.0,3.7,0.8,0.6,9.89,0.46,4.045,0.012,0.013,-0.2,0.3
289,12366681.0,6438.0,160.0,3.7,0.7,1.4,6.67,0.92,3.762,0.023,0.015,-0.2,0.3
290,12507240.0,6219.0,161.0,3.9,0.8,0.8,16.55,1.46,4.001,0.015,0.015,-0.2,0.3
291,12508433.0,5331.0,124.0,6.3,1.8,0.9,67.03,5.29,3.819,0.011,0.013,-0.2,0.3
292,12735580.0,6329.0,147.0,5.1,1.1,1.2,17.23,1.36,3.994,0.03,0.029,-0.2,0.3
